Question,Answer
"Qui êtes-vous ?","Je suis un chatbot intelligent, créé pour vous aider à répondre à vos questions et vous fournir des informations utiles."
"Que pouvez-vous faire ?","Je peux répondre à vos questions, vous aider à trouver des informations, ou vous guider dans diverses tâches."
"Quels services offrez-vous ?","Je peux vous aider avec diverses tâches : répondre à des questions fréquentes, effectuer des conversions de devises, donner des informations sur la météo, fournir des recommandations personnalisées, et bien plus."
"3 + 5 ?","Le résultat de 3 + 5 est 8."
"Combien fait 3 - 1 ?","3 - 1 égale 2."
"3 - 1 ","3 - 1 égale 2."
"10 - 4 ?","10 - 4 égale 6."
"Quel est votre nom ?","Mon nom est Chatbot."
"Tunisie","La Tunisie est un pays situé en Afrique du Nord, bordé par la mer Méditerranée et le désert du Sahara."
"PHP","PHP est un langage de programmation utilisé principalement pour le développement web côté serveur."
"strlen() en PHP ?","La fonction strlen() en PHP renvoie la longueur d'une chaîne de caractères."
"isset() en PHP ?","La fonction isset() en PHP vérifie si une variable est définie et est différente de null."
"un cookie en PHP ?","Un cookie en PHP est une petite quantité de données stockée sur l'ordinateur du client, utilisée pour suivre des informations sur les utilisateurs."
"À quoi sert json_encode() en PHP ?","json_encode() est une fonction en PHP qui permet de convertir une variable PHP en chaîne JSON."
"Qu'est-ce que $_SERVER en PHP ?","$_SERVER est une superglobale en PHP qui contient des informations sur les en-têtes, chemins, et script."
"100 dollars in euros?","100 dollars equals about 93.23 euros."
"Combien vaut 100 dollars en euros ?","100 dollars équivalent à environ 93,23 euros."
"1 dollar en euros ?","1 dollar=0.95euros."
"How much is 100 dollars in euros?","100 dollars equals about 93.23 euros."
"100 dollars in euros?","100 dollars equals about 93.23 euros."
"Square root of 64?","The square root of 64 is 8."
"Quelle est la racine carrée de 64 ?","La racine carrée de 64 est 8."
"racine carrée de 64 ?","La racine carrée de 64 est 8."
"50 euros in dollars?","50 euros equals about 53.87 dollars."
"Combien de dollars pour 50 euros ?","50 euros valent environ 53,87 dollars."
"How much is 50 euros in dollars?","50 euros equals about 53.87 dollars."
"Time in Paris?","The time in Paris is usually 1 hour ahead of GMT."
"Quelle heure est-il à Paris ?","L'heure à Paris est généralement 1 heure de plus que GMT."
"What time is it in Paris?","The time in Paris is usually 1 hour ahead of GMT."
"Who is Einstein?","Albert Einstein was a physicist known for the theory of relativity."
"Qui est Einstein ?","Albert Einstein était un physicien connu pour la théorie de la relativité."
"Who was Albert Einstein?","Albert Einstein was a physicist known for the theory of relativity."
"Quelle est la capitale de la France ?","La capitale de la France est Paris."
"capitale de France ?","La capitale de la France est Paris."
"What is France's capital?","The capital of France is Paris."
"Convert 5 kilometers to miles?","5 kilometers equals about 3.1 miles."
"5 kilomètres en miles ?","5 kilomètres équivalent à environ 3,1 miles."
"How do I convert 5 kilometers to miles?","5 kilometers equals about 3.1 miles."
"Who wrote 'Hamlet'?","'Hamlet' was written by William Shakespeare."
"Qui a écrit 'Hamlet' ?","'Hamlet' a été écrit par William Shakespeare."
"Who is the author of 'Hamlet'?","'Hamlet' was written by William Shakespeare.""
"How many grams in a kilogram?","There are 1000 grams in a kilogram."
"Combien de grammes dans un kilogramme ?","Il y a 1000 grammes dans un kilogramme."
"2+2","2+2 equals 4."
"2+2= ?","2+2 égale 4."
"What is 2 plus 2?","2+2 equals 4."
"How tall is the Eiffel Tower?","The Eiffel Tower is 330 meters tall."
"Quelle est la hauteur de la Tour Eiffel ?","La Tour Eiffel mesure 330 mètres de hauteur."
"How high is the Eiffel Tower?","The Eiffel Tower is 330 meters tall."
"Who is the president of the USA?","The president of the USA is Joe Biden."
"Quelle est la monnaie du Japon ?","La monnaie du Japon est le Yen."
"What is Japan's currency?","The currency of Japan is the Yen."
